siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,二氧化硫,SO2,ppb,202502,1.2
1,基隆,2,一氧化碳,CO,ppm,202502,0.31
1,基隆,3,臭氧,O3,ppb,202502,38
1,基隆,4,懸浮微粒,PM10,μg/m3,202502,21
1,基隆,5,氮氧化物,NOx,ppb,202502,9.9
1,基隆,6,一氧化氮,NO,ppb,202502,1.6
1,基隆,7,二氧化氮,NO2,ppb,202502,8
1,基隆,8,總碳氫化物,THC,ppm,202502,2.17
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,202502,0.05
1,基隆,10,風速,WIND_SPEED,m/sec,202502,1.3
1,基隆,14,溫度,AMB_TEMP,℃,202502,15.9
1,基隆,31,甲烷,CH4,ppm,202502,2.11
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,202502,12
1,基隆,38,相對濕度,RH,%,202502,81
1,基隆,143,小時風速值,WS_HR,m/sec,202502,1
2,汐止,1,二氧化硫,SO2,ppb,202502,1
2,汐止,2,一氧化碳,CO,ppm,202502,0.31
2,汐止,3,臭氧,O3,ppb,202502,30
2,汐止,4,懸浮微粒,PM10,μg/m3,202502,23
2,汐止,5,氮氧化物,NOx,ppb,202502,17.3
2,汐止,6,一氧化氮,NO,ppb,202502,3.2
2,汐止,7,二氧化氮,NO2,ppb,202502,14
2,汐止,10,風速,WIND_SPEED,m/sec,202502,1.2
2,汐止,14,溫度,AMB_TEMP,℃,202502,16.2
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,202502,14
2,汐止,38,相對濕度,RH,%,202502,88
2,汐止,143,小時風速值,WS_HR,m/sec,202502,1
3,萬里,1,二氧化硫,SO2,ppb,202502,0.7
3,萬里,2,一氧化碳,CO,ppm,202502,0.24
3,萬里,3,臭氧,O3,ppb,202502,43
3,萬里,4,懸浮微粒,PM10,μg/m3,202502,42
3,萬里,5,氮氧化物,NOx,ppb,202502,5.3
3,萬里,6,一氧化氮,NO,ppb,202502,0.9
3,萬里,7,二氧化氮,NO2,ppb,202502,4
3,萬里,10,風速,WIND_SPEED,m/sec,202502,4.8
3,萬里,14,溫度,AMB_TEMP,℃,202502,16.2
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,202502,13
3,萬里,38,相對濕度,RH,%,202502,87
3,萬里,143,小時風速值,WS_HR,m/sec,202502,4.4
4,新店,1,二氧化硫,SO2,ppb,202502,0.5
4,新店,2,一氧化碳,CO,ppm,202502,0.32
4,新店,3,臭氧,O3,ppb,202502,34
4,新店,4,懸浮微粒,PM10,μg/m3,202502,22
4,新店,5,氮氧化物,NOx,ppb,202502,12.8
4,新店,6,一氧化氮,NO,ppb,202502,1.6
4,新店,7,二氧化氮,NO2,ppb,202502,11
4,新店,10,風速,WIND_SPEED,m/sec,202502,1.5
4,新店,14,溫度,AMB_TEMP,℃,202502,16.3
4,新店,33,細懸浮微粒,PM2.5,μg/m3,202502,11
4,新店,38,相對濕度,RH,%,202502,82
4,新店,143,小時風速值,WS_HR,m/sec,202502,1.2
5,土城,1,二氧化硫,SO2,ppb,202502,0.9
5,土城,2,一氧化碳,CO,ppm,202502,0.37
5,土城,3,臭氧,O3,ppb,202502,33
5,土城,4,懸浮微粒,PM10,μg/m3,202502,25
5,土城,5,氮氧化物,NOx,ppb,202502,15.4
5,土城,6,一氧化氮,NO,ppb,202502,2.6
5,土城,7,二氧化氮,NO2,ppb,202502,12
5,土城,8,總碳氫化物,THC,ppm,202502,2.08
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,202502,0.1
5,土城,10,風速,WIND_SPEED,m/sec,202502,1.3
5,土城,14,溫度,AMB_TEMP,℃,202502,16.8
5,土城,31,甲烷,CH4,ppm,202502,1.97
5,土城,33,細懸浮微粒,PM2.5,μg/m3,202502,13
5,土城,38,相對濕度,RH,%,202502,82
5,土城,143,小時風速值,WS_HR,m/sec,202502,0.4
6,板橋,1,二氧化硫,SO2,ppb,202502,1.1
6,板橋,2,一氧化碳,CO,ppm,202502,0.4
6,板橋,3,臭氧,O3,ppb,202502,33
6,板橋,4,懸浮微粒,PM10,μg/m3,202502,22
6,板橋,5,氮氧化物,NOx,ppb,202502,17.6
6,板橋,6,一氧化氮,NO,ppb,202502,2.5
6,板橋,7,二氧化氮,NO2,ppb,202502,15
