siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,,SO2,ppb,202504,1.3
1,基隆,2,,CO,ppm,202504,0.3
1,基隆,3,,O3,ppb,202504,40
1,基隆,4,,PM10,μg/m3,202504,32
1,基隆,5,,NOx,ppb,202504,11.6
1,基隆,6,,NO,ppb,202504,1.6
1,基隆,7,,NO2,ppb,202504,9
1,基隆,8,,THC,ppm,202504,2.2
1,基隆,9,,NMHC,ppm,202504,0.06
1,基隆,10,,WIND_SPEED,m/sec,202504,1
1,基隆,14,,AMB_TEMP,℃,202504,22
1,基隆,31,,CH4,ppm,202504,2.13
1,基隆,33,,PM2.5,μg/m3,202504,13.6
1,基隆,38,,RH,%,202504,79
1,基隆,143,,WS_HR,m/sec,202504,0.6
2,汐止,1,,SO2,ppb,202504,0.9
2,汐止,2,,CO,ppm,202504,0.32
2,汐止,3,,O3,ppb,202504,34
2,汐止,4,,PM10,μg/m3,202504,36
2,汐止,5,,NOx,ppb,202504,20.1
2,汐止,6,,NO,ppb,202504,3.4
2,汐止,7,,NO2,ppb,202504,16
2,汐止,10,,WIND_SPEED,m/sec,202504,0.9
2,汐止,14,,AMB_TEMP,℃,202504,22.7
2,汐止,33,,PM2.5,μg/m3,202504,17
2,汐止,38,,RH,%,202504,80
2,汐止,143,,WS_HR,m/sec,202504,0.7
4,新店,1,,SO2,ppb,202504,0.7
4,新店,2,,CO,ppm,202504,0.3
4,新店,3,,O3,ppb,202504,41
4,新店,4,,PM10,μg/m3,202504,34
4,新店,5,,NOx,ppb,202504,12.2
4,新店,6,,NO,ppb,202504,1.2
4,新店,7,,NO2,ppb,202504,10
4,新店,10,,WIND_SPEED,m/sec,202504,1.5
4,新店,14,,AMB_TEMP,℃,202504,22.6
4,新店,33,,PM2.5,μg/m3,202504,15
4,新店,38,,RH,%,202504,76
4,新店,143,,WS_HR,m/sec,202504,1.3
5,土城,1,,SO2,ppb,202504,0.9
5,土城,2,,CO,ppm,202504,0.37
5,土城,3,,O3,ppb,202504,37
5,土城,4,,PM10,μg/m3,202504,40
5,土城,5,,NOx,ppb,202504,17.3
5,土城,6,,NO,ppb,202504,2.4
5,土城,7,,NO2,ppb,202504,14
5,土城,8,,THC,ppm,202504,2.16
5,土城,9,,NMHC,ppm,202504,0.11
5,土城,10,,WIND_SPEED,m/sec,202504,1.1
5,土城,14,,AMB_TEMP,℃,202504,23
5,土城,31,,CH4,ppm,202504,2.04
5,土城,33,,PM2.5,μg/m3,202504,19.4
5,土城,38,,RH,%,202504,77
5,土城,143,,WS_HR,m/sec,202504,0.6
6,板橋,1,,SO2,ppb,202504,1
6,板橋,2,,CO,ppm,202504,0.42
6,板橋,3,,O3,ppb,202504,39
6,板橋,4,,PM10,μg/m3,202504,38
6,板橋,5,,NOx,ppb,202504,19.2
6,板橋,6,,NO,ppb,202504,2
6,板橋,7,,NO2,ppb,202504,17
6,板橋,8,,THC,ppm,202504,2.24
6,板橋,9,,NMHC,ppm,202504,0.12
6,板橋,10,,WIND_SPEED,m/sec,202504,1.5
6,板橋,14,,AMB_TEMP,℃,202504,23.1
6,板橋,31,,CH4,ppm,202504,2.11
6,板橋,33,,PM2.5,μg/m3,202504,16
6,板橋,38,,RH,%,202504,73
6,板橋,143,,WS_HR,m/sec,202504,1.1
7,新莊,1,,SO2,ppb,202504,0.7
7,新莊,2,,CO,ppm,202504,0.36
7,新莊,3,,O3,ppb,202504,38
7,新莊,4,,PM10,μg/m3,202504,38
7,新莊,5,,NOx,ppb,202504,17.1
7,新莊,6,,NO,ppb,202504,2.1
7,新莊,7,,NO2,ppb,202504,14
7,新莊,10,,WIND_SPEED,m/sec,202504,2.1
7,新莊,14,,AMB_TEMP,℃,202504,22.5
7,新莊,33,,PM2.5,μg/m3,202504,17.4
7,新莊,38,,RH,%,202504,78
7,新莊,143,,WS_HR,m/sec,202504,1.8
8,菜寮,1,,SO2,ppb,202504,0.9
8,菜寮,2,,CO,ppm,202504,0.42
8,菜寮,3,,O3,ppb,202504,40
8,菜寮,4,,PM10,μg/m3,202504,39
8,菜寮,5,,NOx,ppb,202504,19.6
8,菜寮,6,,NO,ppb,202504,2.4
8,菜寮,7,,NO2,ppb,202504,17
8,菜寮,10,,WIND_SPEED,m/sec,202504,1.7
8,菜寮,14,,AMB_TEMP,℃,202504,23.6
8,菜寮,33,,PM2.5,μg/m3,202504,19.1
8,菜寮,38,,RH,%,202504,73
8,菜寮,143,,WS_HR,m/sec,202504,1.4
9,林口,1,,SO2,ppb,202504,1.1
9,林口,2,,CO,ppm,202504,0.28
