siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,二氧化硫,SO2,ppb,202505,1.1
1,基隆,2,一氧化碳,CO,ppm,202505,0.25
1,基隆,3,臭氧,O3,ppb,202505,37
1,基隆,4,懸浮微粒,PM10,μg/m3,202505,21
1,基隆,5,氮氧化物,NOx,ppb,202505,9.4
1,基隆,6,一氧化氮,NO,ppb,202505,1.3
1,基隆,7,二氧化氮,NO2,ppb,202505,8
1,基隆,8,總碳氫化物,THC,ppm,202505,2.17
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.08
1,基隆,10,風速,WIND_SPEED,m/sec,202505,1.1
1,基隆,14,溫度,AMB_TEMP,℃,202505,25.3
1,基隆,31,甲烷,CH4,ppm,202505,2.09
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,202505,11.3
1,基隆,38,相對濕度,RH,%,202505,81
1,基隆,143,小時風速值,WS_HR,m/sec,202505,0.7
2,汐止,1,二氧化硫,SO2,ppb,202505,0.8
2,汐止,2,一氧化碳,CO,ppm,202505,0.26
2,汐止,3,臭氧,O3,ppb,202505,32
2,汐止,4,懸浮微粒,PM10,μg/m3,202505,24
2,汐止,5,氮氧化物,NOx,ppb,202505,17.5
2,汐止,6,一氧化氮,NO,ppb,202505,3.1
2,汐止,7,二氧化氮,NO2,ppb,202505,14
2,汐止,10,風速,WIND_SPEED,m/sec,202505,0.8
2,汐止,14,溫度,AMB_TEMP,℃,202505,26
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,202505,14.7
2,汐止,38,相對濕度,RH,%,202505,83
2,汐止,143,小時風速值,WS_HR,m/sec,202505,0.7
4,新店,1,二氧化硫,SO2,ppb,202505,0.8
4,新店,2,一氧化碳,CO,ppm,202505,0.24
4,新店,3,臭氧,O3,ppb,202505,40
4,新店,4,懸浮微粒,PM10,μg/m3,202505,22
4,新店,5,氮氧化物,NOx,ppb,202505,9.8
4,新店,6,一氧化氮,NO,ppb,202505,1.2
4,新店,7,二氧化氮,NO2,ppb,202505,8
4,新店,10,風速,WIND_SPEED,m/sec,202505,1.6
4,新店,14,溫度,AMB_TEMP,℃,202505,25.8
4,新店,33,細懸浮微粒,PM2.5,μg/m3,202505,11.2
4,新店,38,相對濕度,RH,%,202505,79
4,新店,143,小時風速值,WS_HR,m/sec,202505,1.5
5,土城,1,二氧化硫,SO2,ppb,202505,0.8
5,土城,2,一氧化碳,CO,ppm,202505,0.31
5,土城,3,臭氧,O3,ppb,202505,36
5,土城,4,懸浮微粒,PM10,μg/m3,202505,27
5,土城,5,氮氧化物,NOx,ppb,202505,14
5,土城,6,一氧化氮,NO,ppb,202505,2
5,土城,7,二氧化氮,NO2,ppb,202505,11
5,土城,8,總碳氫化物,THC,ppm,202505,2.11
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.09
5,土城,10,風速,WIND_SPEED,m/sec,202505,1.3
5,土城,14,溫度,AMB_TEMP,℃,202505,26.5
5,土城,31,甲烷,CH4,ppm,202505,2
5,土城,33,細懸浮微粒,PM2.5,μg/m3,202505,15.6
5,土城,38,相對濕度,RH,%,202505,79
5,土城,143,小時風速值,WS_HR,m/sec,202505,0.6
6,板橋,1,二氧化硫,SO2,ppb,202505,0.9
6,板橋,2,一氧化碳,CO,ppm,202505,0.36
6,板橋,3,臭氧,O3,ppb,202505,37
6,板橋,4,懸浮微粒,PM10,μg/m3,202505,23
6,板橋,5,氮氧化物,NOx,ppb,202505,15.9
6,板橋,6,一氧化氮,NO,ppb,202505,1.6
6,板橋,7,二氧化氮,NO2,ppb,202505,14
6,板橋,8,總碳氫化物,THC,ppm,202505,2.16
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.1
6,板橋,10,風速,WIND_SPEED,m/sec,202505,1.6
6,板橋,14,溫度,AMB_TEMP,℃,202505,26.5
6,板橋,31,甲烷,CH4,ppm,202505,2.06
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,202505,11.3
6,板橋,38,相對濕度,RH,%,202505,74
6,板橋,143,小時風速值,WS_HR,m/sec,202505,1.2
7,新莊,1,二氧化硫,SO2,ppb,202505,0.7
7,新莊,2,一氧化碳,CO,ppm,202505,0.28
7,新莊,3,臭氧,O3,ppb,202505,36
7,新莊,4,懸浮微粒,PM10,μg/m3,202505,22
7,新莊,5,氮氧化物,NOx,ppb,202505,14.5
7,新莊,6,一氧化氮,NO,ppb,202505,2
7,新莊,7,二氧化氮,NO2,ppb,202505,12
7,新莊,10,風速,WIND_SPEED,m/sec,202505,2.2
7,新莊,14,溫度,AMB_TEMP,℃,202505,26
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,202505,13.6
7,新莊,38,相對濕度,RH,%,202505,79
7,新莊,143,小時風速值,WS_HR,m/sec,202505,2
8,菜寮,1,二氧化硫,SO2,ppb,202505,0.8
8,菜寮,2,一氧化碳,CO,ppm,202505,0.35
8,菜寮,3,臭氧,O3,ppb,202505,37
8,菜寮,4,懸浮微粒,PM10,μg/m3,202505,24
8,菜寮,5,氮氧化物,NOx,ppb,202505,16
8,菜寮,6,一氧化氮,NO,ppb,202505,1.8
8,菜寮,7,二氧化氮,NO2,ppb,202505,14
8,菜寮,10,風速,WIND_SPEED,m/sec,202505,1.8
8,菜寮,14,溫度,AMB_TEMP,℃,202505,27
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,202505,14.7
8,菜寮,38,相對濕度,RH,%,202505,74
8,菜寮,143,小時風速值,WS_HR,m/sec,202505,1.5
9,林口,1,二氧化硫,SO2,ppb,202505,0.8
9,林口,2,一氧化碳,CO,ppm,202505,0.25
9,林口,3,臭氧,O3,ppb,202505,38
9,林口,4,懸浮微粒,PM10,μg/m3,202505,22
9,林口,5,氮氧化物,NOx,ppb,202505,13
9,林口,6,一氧化氮,NO,ppb,202505,2.1
9,林口,7,二氧化氮,NO2,ppb,202505,10
9,林口,10,風速,WIND_SPEED,m/sec,202505,2.2
9,林口,14,溫度,AMB_TEMP,℃,202505,23.4
9,林口,33,細懸浮微粒,PM2.5,μg/m3,202505,13.1
9,林口,38,相對濕度,RH,%,202505,82
9,林口,143,小時風速值,WS_HR,m/sec,202505,2
10,淡水,1,二氧化硫,SO2,ppb,202505,0.6
10,淡水,2,一氧化碳,CO,ppm,202505,0.25
10,淡水,3,臭氧,O3,ppb,202505,36
10,淡水,4,懸浮微粒,PM10,μg/m3,202505,26
10,淡水,5,氮氧化物,NOx,ppb,202505,10
10,淡水,6,一氧化氮,NO,ppb,202505,1.5
10,淡水,7,二氧化氮,NO2,ppb,202505,8
10,淡水,10,風速,WIND_SPEED,m/sec,202505,2
10,淡水,14,溫度,AMB_TEMP,℃,202505,25
10,淡水,33,細懸浮微粒,PM2.5,μg/m3,202505,12.3
10,淡水,38,相對濕度,RH,%,202505,80
11,士林,1,二氧化硫,SO2,ppb,202505,1
11,士林,2,一氧化碳,CO,ppm,202505,0.24
11,士林,3,臭氧,O3,ppb,202505,38
11,士林,4,懸浮微粒,PM10,μg/m3,202505,24
11,士林,5,氮氧化物,NOx,ppb,202505,11.4
11,士林,6,一氧化氮,NO,ppb,202505,1.6
11,士林,7,二氧化氮,NO2,ppb,202505,9
11,士林,10,風速,WIND_SPEED,m/sec,202505,1.5
11,士林,14,溫度,AMB_TEMP,℃,202505,26.4
11,士林,33,細懸浮微粒,PM2.5,μg/m3,202505,11.6
11,士林,38,相對濕度,RH,%,202505,75
11,士林,143,小時風速值,WS_HR,m/sec,202505,1
12,中山,1,二氧化硫,SO2,ppb,202505,0.9
12,中山,2,一氧化碳,CO,ppm,202505,0.37
12,中山,3,臭氧,O3,ppb,202505,32
12,中山,4,懸浮微粒,PM10,μg/m3,202505,25
12,中山,5,氮氧化物,NOx,ppb,202505,20
12,中山,6,一氧化氮,NO,ppb,202505,3.3
12,中山,7,二氧化氮,NO2,ppb,202505,16
12,中山,8,總碳氫化物,THC,ppm,202505,2.06
12,中山,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.08
12,中山,10,風速,WIND_SPEED,m/sec,202505,1.7
12,中山,14,溫度,AMB_TEMP,℃,202505,26.6
12,中山,31,甲烷,CH4,ppm,202505,1.97
12,中山,33,細懸浮微粒,PM2.5,μg/m3,202505,13.4
12,中山,38,相對濕度,RH,%,202505,67
12,中山,143,小時風速值,WS_HR,m/sec,202505,1.2
13,萬華,1,二氧化硫,SO2,ppb,202505,0.6
13,萬華,2,一氧化碳,CO,ppm,202505,0.33
13,萬華,3,臭氧,O3,ppb,202505,33
13,萬華,4,懸浮微粒,PM10,μg/m3,202505,24
13,萬華,5,氮氧化物,NOx,ppb,202505,17.5
13,萬華,6,一氧化氮,NO,ppb,202505,2
13,萬華,7,二氧化氮,NO2,ppb,202505,15
13,萬華,8,總碳氫化物,THC,ppm,202505,2.21
13,萬華,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.06
13,萬華,10,風速,WIND_SPEED,m/sec,202505,1.2
13,萬華,14,溫度,AMB_TEMP,℃,202505,26.7
13,萬華,31,甲烷,CH4,ppm,202505,2.14
13,萬華,33,細懸浮微粒,PM2.5,μg/m3,202505,11.3
13,萬華,38,相對濕度,RH,%,202505,75
13,萬華,143,小時風速值,WS_HR,m/sec,202505,1
14,古亭,1,二氧化硫,SO2,ppb,202505,0.7
14,古亭,2,一氧化碳,CO,ppm,202505,0.26
14,古亭,3,臭氧,O3,ppb,202505,37
14,古亭,4,懸浮微粒,PM10,μg/m3,202505,22
14,古亭,5,氮氧化物,NOx,ppb,202505,11.3
14,古亭,6,一氧化氮,NO,ppb,202505,1.4
14,古亭,7,二氧化氮,NO2,ppb,202505,9
14,古亭,8,總碳氫化物,THC,ppm,202505,2.06
14,古亭,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.05
14,古亭,10,風速,WIND_SPEED,m/sec,202505,1.3
14,古亭,14,溫度,AMB_TEMP,℃,202505,26.6
14,古亭,31,甲烷,CH4,ppm,202505,2
14,古亭,33,細懸浮微粒,PM2.5,μg/m3,202505,12.2
14,古亭,38,相對濕度,RH,%,202505,76
14,古亭,143,小時風速值,WS_HR,m/sec,202505,1
15,松山,1,二氧化硫,SO2,ppb,202505,1.5
15,松山,2,一氧化碳,CO,ppm,202505,0.28
15,松山,3,臭氧,O3,ppb,202505,34
15,松山,4,懸浮微粒,PM10,μg/m3,202505,23
15,松山,5,氮氧化物,NOx,ppb,202505,18.5
15,松山,6,一氧化氮,NO,ppb,202505,3.1
15,松山,7,二氧化氮,NO2,ppb,202505,15
15,松山,8,總碳氫化物,THC,ppm,202505,2.19
15,松山,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.08
15,松山,10,風速,WIND_SPEED,m/sec,202505,1.4
15,松山,14,溫度,AMB_TEMP,℃,202505,26.1
15,松山,31,甲烷,CH4,ppm,202505,2.09
15,松山,33,細懸浮微粒,PM2.5,μg/m3,202505,14
15,松山,38,相對濕度,RH,%,202505,74
15,松山,143,小時風速值,WS_HR,m/sec,202505,1
16,大同,1,二氧化硫,SO2,ppb,202505,1.2
16,大同,2,一氧化碳,CO,ppm,202505,0.75
16,大同,3,臭氧,O3,ppb,202505,23
16,大同,4,懸浮微粒,PM10,μg/m3,202505,26
16,大同,5,氮氧化物,NOx,ppb,202505,43.2
16,大同,6,一氧化氮,NO,ppb,202505,17.6
16,大同,7,二氧化氮,NO2,ppb,202505,25
16,大同,8,總碳氫化物,THC,ppm,202505,2.37
16,大同,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.21
16,大同,10,風速,WIND_SPEED,m/sec,202505,
16,大同,14,溫度,AMB_TEMP,℃,202505,
16,大同,31,甲烷,CH4,ppm,202505,2.15
16,大同,33,細懸浮微粒,PM2.5,μg/m3,202505,16.6
16,大同,38,相對濕度,RH,%,202505,74
16,大同,143,小時風速值,WS_HR,m/sec,202505,
17,桃園,1,二氧化硫,SO2,ppb,202505,1.3
17,桃園,2,一氧化碳,CO,ppm,202505,0.31
17,桃園,3,臭氧,O3,ppb,202505,37
17,桃園,4,懸浮微粒,PM10,μg/m3,202505,23
17,桃園,5,氮氧化物,NOx,ppb,202505,14
17,桃園,6,一氧化氮,NO,ppb,202505,1.4
17,桃園,7,二氧化氮,NO2,ppb,202505,12
17,桃園,8,總碳氫化物,THC,ppm,202505,2.23
17,桃園,9,非甲烷碳氫化合物,NMHC,ppm,202505,0.1
17,桃園,10,風速,WIND_SPEED,m/sec,202505,1.7
17,桃園,14,溫度,AMB_TEMP,℃,202505,26.2
17,桃園,31,甲烷,CH4,ppm,202505,2.12
17,桃園,33,細懸浮微粒,PM2.5,μg/m3,202505,14.7
17,桃園,38,相對濕度,RH,%,202505,74
17,桃園,143,小時風速值,WS_HR,m/sec,202505,1.3
18,大園,1,二氧化硫,SO2,ppb,202505,1.2
18,大園,2,一氧化碳,CO,ppm,202505,0.24
18,大園,3,臭氧,O3,ppb,202505,36
18,大園,4,懸浮微粒,PM10,μg/m3,202505,26
18,大園,5,氮氧化物,NOx,ppb,202505,13.6
18,大園,6,一氧化氮,NO,ppb,202505,1.5
18,大園,7,二氧化氮,NO2,ppb,202505,12
18,大園,10,風速,WIND_SPEED,m/sec,202505,2.9
18,大園,14,溫度,AMB_TEMP,℃,202505,25.7
18,大園,33,細懸浮微粒,PM2.5,μg/m3,202505,11.7
18,大園,38,相對濕度,RH,%,202505,73
18,大園,143,小時風速值,WS_HR,m/sec,202505,2.6
19,觀音,1,二氧化硫,SO2,ppb,202505,1.2
19,觀音,2,一氧化碳,CO,ppm,202505,0.19
19,觀音,3,臭氧,O3,ppb,202505,38
19,觀音,4,懸浮微粒,PM10,μg/m3,202505,21
19,觀音,5,氮氧化物,NOx,ppb,202505,9.1
19,觀音,6,一氧化氮,NO,ppb,202505,0.9
19,觀音,7,二氧化氮,NO2,ppb,202505,8
19,觀音,10,風速,WIND_SPEED,m/sec,202505,2.8
19,觀音,14,溫度,AMB_TEMP,℃,202505,25.7
19,觀音,33,細懸浮微粒,PM2.5,μg/m3,202505,14.3
19,觀音,38,相對濕度,RH,%,202505,76
19,觀音,143,小時風速值,WS_HR,m/sec,202505,2.6
20,平鎮,1,二氧化硫,SO2,ppb,202505,0.7
20,平鎮,2,一氧化碳,CO,ppm,202505,0.28
20,平鎮,3,臭氧,O3,ppb,202505,37
20,平鎮,4,懸浮微粒,PM10,μg/m3,202505,24
20,平鎮,5,氮氧化物,NOx,ppb,202505,13.3
20,平鎮,6,一氧化氮,NO,ppb,202505,1.4
20,平鎮,7,二氧化氮,NO2,ppb,202505,11
20,平鎮,10,風速,WIND_SPEED,m/sec,202505,1.4
20,平鎮,14,溫度,AMB_TEMP,℃,202505,26.4
20,平鎮,33,細懸浮微粒,PM2.5,μg/m3,202505,12.4
20,平鎮,38,相對濕度,RH,%,202505,75
20,平鎮,143,小時風速值,WS_HR,m/sec,202505,1.2
21,龍潭,1,二氧化硫,SO2,ppb,202505,0.9
21,龍潭,2,一氧化碳,CO,ppm,202505,0.24
21,龍潭,3,臭氧,O3,ppb,202505,36
21,龍潭,4,懸浮微粒,PM10,μg/m3,202505,23
21,龍潭,5,氮氧化物,NOx,ppb,202505,11.1
21,龍潭,6,一氧化氮,NO,ppb,202505,1.5
21,龍潭,7,二氧化氮,NO2,ppb,202505,9
21,龍潭,10,風速,WIND_SPEED,m/sec,202505,2.2
21,龍潭,14,溫度,AMB_TEMP,℃,202505,24.8
21,龍潭,33,細懸浮微粒,PM2.5,μg/m3,202505,13.9
21,龍潭,38,相對濕度,RH,%,202505,83
21,龍潭,143,小時風速值,WS_HR,m/sec,202505,1.9
22,湖口,1,二氧化硫,SO2,ppb,202505,1
22,湖口,2,一氧化碳,CO,ppm,202505,0.22
22,湖口,3,臭氧,O3,ppb,202505,37
22,湖口,4,懸浮微粒,PM10,μg/m3,202505,21
22,湖口,5,氮氧化物,NOx,ppb,202505,9.3
22,湖口,6,一氧化氮,NO,ppb,202505,1
22,湖口,7,二氧化氮,NO2,ppb,202505,8
22,湖口,10,風速,WIND_SPEED,m/sec,202505,2.4
22,湖口,14,溫度,AMB_TEMP,℃,202505,25.8
22,湖口,33,細懸浮微粒,PM2.5,μg/m3,202505,12.6
