siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,二氧化硫,SO2,ppb,202508,0.8
1,基隆,2,一氧化碳,CO,ppm,202508,0.16
1,基隆,3,臭氧,O3,ppb,202508,16
1,基隆,4,懸浮微粒,PM10,μg/m3,202508,12
1,基隆,5,氮氧化物,NOx,ppb,202508,7.2
1,基隆,6,一氧化氮,NO,ppb,202508,1.7
1,基隆,7,二氧化氮,NO2,ppb,202508,5
1,基隆,8,總碳氫化物,THC,ppm,202508,2
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,202508,0.03
1,基隆,10,風速,WIND_SPEED,m/sec,202508,1.5
1,基隆,14,溫度,AMB_TEMP,℃,202508,29.9
1,基隆,31,甲烷,CH4,ppm,202508,1.98
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,202508,5.1
1,基隆,38,相對濕度,RH,%,202508,75
1,基隆,143,小時風速值,WS_HR,m/sec,202508,1.1
2,汐止,1,二氧化硫,SO2,ppb,202508,0.7
2,汐止,2,一氧化碳,CO,ppm,202508,0.16
2,汐止,3,臭氧,O3,ppb,202508,16
2,汐止,4,懸浮微粒,PM10,μg/m3,202508,16
2,汐止,5,氮氧化物,NOx,ppb,202508,11.9
2,汐止,6,一氧化氮,NO,ppb,202508,3.4
2,汐止,7,二氧化氮,NO2,ppb,202508,8
2,汐止,10,風速,WIND_SPEED,m/sec,202508,1.5
2,汐止,14,溫度,AMB_TEMP,℃,202508,30.6
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,202508,8.7
2,汐止,38,相對濕度,RH,%,202508,71
2,汐止,143,小時風速值,WS_HR,m/sec,202508,1.2
4,新店,1,二氧化硫,SO2,ppb,202508,0.7
4,新店,2,一氧化碳,CO,ppm,202508,0.15
4,新店,3,臭氧,O3,ppb,202508,21
4,新店,4,懸浮微粒,PM10,μg/m3,202508,15
4,新店,5,氮氧化物,NOx,ppb,202508,7.1
4,新店,6,一氧化氮,NO,ppb,202508,1.5
4,新店,7,二氧化氮,NO2,ppb,202508,5
4,新店,10,風速,WIND_SPEED,m/sec,202508,2.1
4,新店,14,溫度,AMB_TEMP,℃,202508,30
4,新店,33,細懸浮微粒,PM2.5,μg/m3,202508,5.4
4,新店,38,相對濕度,RH,%,202508,70
4,新店,143,小時風速值,WS_HR,m/sec,202508,1.7
5,土城,1,二氧化硫,SO2,ppb,202508,0.6
5,土城,2,一氧化碳,CO,ppm,202508,0.22
5,土城,3,臭氧,O3,ppb,202508,18
5,土城,4,懸浮微粒,PM10,μg/m3,202508,20
5,土城,5,氮氧化物,NOx,ppb,202508,11.4
5,土城,6,一氧化氮,NO,ppb,202508,2.3
5,土城,7,二氧化氮,NO2,ppb,202508,9
5,土城,8,總碳氫化物,THC,ppm,202508,2.06
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,202508,0.06
5,土城,10,風速,WIND_SPEED,m/sec,202508,1.3
5,土城,14,溫度,AMB_TEMP,℃,202508,30.7
5,土城,31,甲烷,CH4,ppm,202508,1.99
5,土城,33,細懸浮微粒,PM2.5,μg/m3,202508,9
5,土城,38,相對濕度,RH,%,202508,70
5,土城,143,小時風速值,WS_HR,m/sec,202508,0.8
6,板橋,1,二氧化硫,SO2,ppb,202508,0.9
6,板橋,2,一氧化碳,CO,ppm,202508,0.26
6,板橋,3,臭氧,O3,ppb,202508,20
6,板橋,4,懸浮微粒,PM10,μg/m3,202508,14
6,板橋,5,氮氧化物,NOx,ppb,202508,12.7
6,板橋,6,一氧化氮,NO,ppb,202508,2.6
6,板橋,7,二氧化氮,NO2,ppb,202508,10
6,板橋,8,總碳氫化物,THC,ppm,202508,2.06
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,202508,0.07
6,板橋,10,風速,WIND_SPEED,m/sec,202508,1.7
6,板橋,14,溫度,AMB_TEMP,℃,202508,30.7
6,板橋,31,甲烷,CH4,ppm,202508,1.98
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,202508,7.8
6,板橋,38,相對濕度,RH,%,202508,66
6,板橋,143,小時風速值,WS_HR,m/sec,202508,1.3
7,新莊,1,二氧化硫,SO2,ppb,202508,0.6
7,新莊,2,一氧化碳,CO,ppm,202508,0.19
7,新莊,3,臭氧,O3,ppb,202508,19
7,新莊,4,懸浮微粒,PM10,μg/m3,202508,21
7,新莊,5,氮氧化物,NOx,ppb,202508,10.4
7,新莊,6,一氧化氮,NO,ppb,202508,2
7,新莊,7,二氧化氮,NO2,ppb,202508,8
