siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,二氧化硫,SO2,ppb,202510,0.9
1,基隆,2,一氧化碳,CO,ppm,202510,0.17
1,基隆,3,臭氧,O3,ppb,202510,29
1,基隆,4,懸浮微粒,PM10,μg/m3,202510,18
1,基隆,5,氮氧化物,NOx,ppb,202510,5.7
1,基隆,6,一氧化氮,NO,ppb,202510,1.4
1,基隆,7,二氧化氮,NO2,ppb,202510,4
1,基隆,8,總碳氫化物,THC,ppm,202510,2.06
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,202510,0.03
1,基隆,10,風速,WIND_SPEED,m/sec,202510,1.7
1,基隆,14,溫度,AMB_TEMP,℃,202510,27.1
1,基隆,31,甲烷,CH4,ppm,202510,2.02
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,202510,7
1,基隆,38,相對濕度,RH,%,202510,80
1,基隆,143,小時風速值,WS_HR,m/sec,202510,1.3
2,汐止,1,二氧化硫,SO2,ppb,202510,1.1
2,汐止,2,一氧化碳,CO,ppm,202510,0.17
2,汐止,3,臭氧,O3,ppb,202510,26
2,汐止,4,懸浮微粒,PM10,μg/m3,202510,15
2,汐止,5,氮氧化物,NOx,ppb,202510,10.4
2,汐止,6,一氧化氮,NO,ppb,202510,2.4
2,汐止,7,二氧化氮,NO2,ppb,202510,8
2,汐止,10,風速,WIND_SPEED,m/sec,202510,1.8
2,汐止,14,溫度,AMB_TEMP,℃,202510,27.4
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,202510,8.9
2,汐止,38,相對濕度,RH,%,202510,79
2,汐止,143,小時風速值,WS_HR,m/sec,202510,1.5
4,新店,1,二氧化硫,SO2,ppb,202510,0.7
4,新店,2,一氧化碳,CO,ppm,202510,0.18
4,新店,3,臭氧,O3,ppb,202510,29
4,新店,4,懸浮微粒,PM10,μg/m3,202510,14
4,新店,5,氮氧化物,NOx,ppb,202510,8.2
4,新店,6,一氧化氮,NO,ppb,202510,1.4
4,新店,7,二氧化氮,NO2,ppb,202510,6
4,新店,10,風速,WIND_SPEED,m/sec,202510,1.8
4,新店,14,溫度,AMB_TEMP,℃,202510,27.1
4,新店,33,細懸浮微粒,PM2.5,μg/m3,202510,6.3
4,新店,38,相對濕度,RH,%,202510,75
4,新店,143,小時風速值,WS_HR,m/sec,202510,1.4
5,土城,1,二氧化硫,SO2,ppb,202510,0.6
5,土城,2,一氧化碳,CO,ppm,202510,0.24
5,土城,3,臭氧,O3,ppb,202510,28
5,土城,4,懸浮微粒,PM10,μg/m3,202510,20
5,土城,5,氮氧化物,NOx,ppb,202510,10.5
5,土城,6,一氧化氮,NO,ppb,202510,1.4
5,土城,7,二氧化氮,NO2,ppb,202510,9
5,土城,8,總碳氫化物,THC,ppm,202510,2.14
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,202510,0.04
5,土城,10,風速,WIND_SPEED,m/sec,202510,1.1
5,土城,14,溫度,AMB_TEMP,℃,202510,27.7
5,土城,31,甲烷,CH4,ppm,202510,2.08
5,土城,33,細懸浮微粒,PM2.5,μg/m3,202510,11.1
5,土城,38,相對濕度,RH,%,202510,75
5,土城,143,小時風速值,WS_HR,m/sec,202510,0.5
6,板橋,1,二氧化硫,SO2,ppb,202510,1.1
6,板橋,2,一氧化碳,CO,ppm,202510,0.27
6,板橋,3,臭氧,O3,ppb,202510,28
6,板橋,4,懸浮微粒,PM10,μg/m3,202510,14
6,板橋,5,氮氧化物,NOx,ppb,202510,12.5
6,板橋,6,一氧化氮,NO,ppb,202510,1.6
