siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,二氧化硫,SO2,ppb,202506,1
1,基隆,2,一氧化碳,CO,ppm,202506,0.19
1,基隆,3,臭氧,O3,ppb,202506,21
1,基隆,4,懸浮微粒,PM10,μg/m3,202506,15
1,基隆,5,氮氧化物,NOx,ppb,202506,9.5
1,基隆,6,一氧化氮,NO,ppb,202506,2.2
1,基隆,7,二氧化氮,NO2,ppb,202506,7
1,基隆,8,總碳氫化物,THC,ppm,202506,2.06
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,202506,0.06
1,基隆,10,風速,WIND_SPEED,m/sec,202506,1.1
1,基隆,14,溫度,AMB_TEMP,℃,202506,28.9
1,基隆,31,甲烷,CH4,ppm,202506,2
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,202506,5.8
1,基隆,38,相對濕度,RH,%,202506,80
1,基隆,143,小時風速值,WS_HR,m/sec,202506,0.7
2,汐止,1,二氧化硫,SO2,ppb,202506,1
2,汐止,2,一氧化碳,CO,ppm,202506,0.21
2,汐止,3,臭氧,O3,ppb,202506,20
2,汐止,4,懸浮微粒,PM10,μg/m3,202506,17
2,汐止,5,氮氧化物,NOx,ppb,202506,15.7
2,汐止,6,一氧化氮,NO,ppb,202506,3.8
2,汐止,7,二氧化氮,NO2,ppb,202506,11
2,汐止,10,風速,WIND_SPEED,m/sec,202506,1.2
2,汐止,14,溫度,AMB_TEMP,℃,202506,29.5
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,202506,10.3
2,汐止,38,相對濕度,RH,%,202506,76
2,汐止,143,小時風速值,WS_HR,m/sec,202506,0.9
4,新店,1,二氧化硫,SO2,ppb,202506,0.8
4,新店,2,一氧化碳,CO,ppm,202506,0.19
4,新店,3,臭氧,O3,ppb,202506,25
4,新店,4,懸浮微粒,PM10,μg/m3,202506,17
4,新店,5,氮氧化物,NOx,ppb,202506,9
4,新店,6,一氧化氮,NO,ppb,202506,1.5
4,新店,7,二氧化氮,NO2,ppb,202506,7
4,新店,10,風速,WIND_SPEED,m/sec,202506,1.6
4,新店,14,溫度,AMB_TEMP,℃,202506,29
4,新店,33,細懸浮微粒,PM2.5,μg/m3,202506,6.8
4,新店,38,相對濕度,RH,%,202506,76
4,新店,143,小時風速值,WS_HR,m/sec,202506,1.4
5,土城,1,二氧化硫,SO2,ppb,202506,0.8
5,土城,2,一氧化碳,CO,ppm,202506,0.26
5,土城,3,臭氧,O3,ppb,202506,22
5,土城,4,懸浮微粒,PM10,μg/m3,202506,24
