siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
1,基隆,1,二氧化硫,SO2,ppb,202509,0.9
1,基隆,2,一氧化碳,CO,ppm,202509,0.15
1,基隆,3,臭氧,O3,ppb,202509,16
1,基隆,4,懸浮微粒,PM10,μg/m3,202509,10
1,基隆,5,氮氧化物,NOx,ppb,202509,7
1,基隆,6,一氧化氮,NO,ppb,202509,1.8
1,基隆,7,二氧化氮,NO2,ppb,202509,5
1,基隆,8,總碳氫化物,THC,ppm,202509,2.04
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,202509,0.04
1,基隆,10,風速,WIND_SPEED,m/sec,202509,1.6
1,基隆,14,溫度,AMB_TEMP,℃,202509,29.9
1,基隆,31,甲烷,CH4,ppm,202509,2
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,202509,5
1,基隆,38,相對濕度,RH,%,202509,75
1,基隆,143,小時風速值,WS_HR,m/sec,202509,1.2
2,汐止,1,二氧化硫,SO2,ppb,202509,0.9
2,汐止,2,一氧化碳,CO,ppm,202509,0.16
2,汐止,3,臭氧,O3,ppb,202509,15
2,汐止,4,懸浮微粒,PM10,μg/m3,202509,13
2,汐止,5,氮氧化物,NOx,ppb,202509,12
2,汐止,6,一氧化氮,NO,ppb,202509,3.3
2,汐止,7,二氧化氮,NO2,ppb,202509,8
2,汐止,10,風速,WIND_SPEED,m/sec,202509,1.5
2,汐止,14,溫度,AMB_TEMP,℃,202509,30.4
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,202509,7.8
2,汐止,38,相對濕度,RH,%,202509,71
2,汐止,143,小時風速值,WS_HR,m/sec,202509,1.2
4,新店,1,二氧化硫,SO2,ppb,202509,0.7
4,新店,2,一氧化碳,CO,ppm,202509,0.15
4,新店,3,臭氧,O3,ppb,202509,20
4,新店,4,懸浮微粒,PM10,μg/m3,202509,13
4,新店,5,氮氧化物,NOx,ppb,202509,7.4
4,新店,6,一氧化氮,NO,ppb,202509,1.6
4,新店,7,二氧化氮,NO2,ppb,202509,5
4,新店,10,風速,WIND_SPEED,m/sec,202509,2.3
4,新店,14,溫度,AMB_TEMP,℃,202509,29.8
4,新店,33,細懸浮微粒,PM2.5,μg/m3,202509,5.4
4,新店,38,相對濕度,RH,%,202509,70
4,新店,143,小時風速值,WS_HR,m/sec,202509,1.9
5,土城,1,二氧化硫,SO2,ppb,202509,0.6
5,土城,2,一氧化碳,CO,ppm,202509,0.22
5,土城,3,臭氧,O3,ppb,202509,18
5,土城,4,懸浮微粒,PM10,μg/m3,202509,20
5,土城,5,氮氧化物,NOx,ppb,202509,11.9
5,土城,6,一氧化氮,NO,ppb,202509,2.7
5,土城,7,二氧化氮,NO2,ppb,202509,9
5,土城,8,總碳氫化物,THC,ppm,202509,2.04
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,202509,0.06
5,土城,10,風速,WIND_SPEED,m/sec,202509,1.3
5,土城,14,溫度,AMB_TEMP,℃,202509,30.3
5,土城,31,甲烷,CH4,ppm,202509,1.98
5,土城,33,細懸浮微粒,PM2.5,μg/m3,202509,10.4
5,土城,38,相對濕度,RH,%,202509,71
5,土城,143,小時風速值,WS_HR,m/sec,202509,0.8
6,板橋,1,二氧化硫,SO2,ppb,202509,1
6,板橋,2,一氧化碳,CO,ppm,202509,0.25
